semaforo;localizacao1;localizacao2;funcionamento;utilizacao;sinalsonoro;sinalizadorciclista;Latitude;Longitude
1;Boa Viagem, Av.;Em frente ao parque Dona Lindú;E/Git;Ocasional/Ped.;N;N;-8.142323;-34.903798
2;Conselheiro Aguiar, Av.;Thomé Gibson, Rua;E/Git;Veicular;N;N;-8.099068;-34.885883
3;Boa Viagem, Av.;França Pereira, Rua;E/Git;Ocasional/Ped.;N;S;-8.106806;-34.887726
4;Boa Viagem, Av.;Barão de Souza Leão, Rua;E/Git;Ocasional/Ped.;N;S;-8.132230;-34.899990
5;Conselheiro Aguiar, Av.;Artur Muniz, Rua;E/Git;Veicular;N;N;-8.104310;-34.888228
6;Conselheiro Aguiar, Av.;Antônio Falcão, Rua;E/Git;Veicular;N;N;-8.116171;-34.894686
7;Mascarenhas de Morais, Av.;Jamaica, Rua;E/Git;Veicular;N;N;-8.107621;-34.911660
8;Caxangá, Av.;Bom Pastor, Rua do;E/Git;Veicular;N;N;-8.040820;-34.938494
9;Cruz Cabugá, Av.;Est BRT Casa da Misericórdia;E/Git;Pedestre;N;N;-8.044224;-34.874595
10;II Perimetral;Parnamirim, Av.;E/Git;Veicular;N;N;-8.034731;-34.908303
11;Conselheiro Portela, Rua;48, Rua;E/Git;Veicular;N;N;-8.041458;-34.893810
12;Barão da Vitória, Rua;Floriano Peixoto, Rua;E;Veic.C/Ped.Paral.;N;N;-8.067321;-34.882931
13;Sol, Rua do;Nova, Rua;E/Git;Veic.C/Ped.Ocas.;S;N;-8.063874;-34.880922
14;Sol, Rua do;Guararapes, Av.;E/Git;Veic.C/Ped.Paral.;N;N;-8.062706;-34.880416
15;Dantas Barreto, Av.;Guararapes, Av.;E/Git;Veic.C/Ped.Paral.;N;N;-8.063788;-34.878518
16;Recife, Av.;São Nicolau, Rua;E/Git;Veicular;N;N;-8.106969;-34.927227
17;Nossa Senhora do Carmo, Av.;Duque de Caxias, Rua;E/Git;Pedestre;S;N;-8.066200;-34.877317
18;Imperador, Rua do;1º de Março, Rua;E/Git;Veicular;N;N;-8.064191;-34.876823
19;Rio Branco, Av.;Apolo, Cais do;E/Git;Veicular;N;N;-8.062391;-34.873830
20;Marquez de Olinda, Av.;Madre de Deus, Rua;E/Git;Veicular;N;N;-8.063611;-34.873672
21;Hora, Rua da;48, Rua;E/Git;Veicular;N;N;-8.042905;-34.891930
22;Princesa Isabel, Rua;Aurora, Rua da;E/Git;Veic.C/Ped.Paral.;N;N;-8.059518;-34.879984
23;Conde da Boa Vista, Av.;Hospício, Rua do;E/Git;Veic.C/Ped.;S;N;-8.060773;-34.884050
24;Conde da Boa Vista, Av.;Gervásio Pires, Rua;E/Git;Veic.C/Ped.;S;N;-8.059567;-34.886443
25;Conde da Boa Vista, Av.;Soledade, Rua da;E/Git;Veic.C/Ped.;S;N;-8.057554;-34.889962
26;Belém, Estrada de;Odorico Mendes, Rua;E;Veic.C/Ped.Ocas.;N;N;-8.032111;-34.881324
27;Conde da Boa Vista, Av.;Dom Bosco, Rua;E/Git;Veicular;N;N;-8.055998;-34.895380
28;Manoel Borba, Av.;Dom Bosco, Rua;E/Git;Veicular;N;N;-8.059392;-34.894050
